,feature,size,weight,gain,cv
45,GeneID.27202,80,,,1
46,GeneID.89846,80,,,1
47,GeneID.135295,80,,,1
48,GeneID.25803,80,,,1
49,GeneID.2296,80,,,1
50,GeneID.2099,80,,,1
51,GeneID.26166,80,,,1
52,GeneID.7494,80,,,1
53,GeneID.5733,80,,,1
54,GeneID.2173,80,,,1
55,GeneID.10200,80,,,1
56,GeneID.57650,80,,,1
57,GeneID.983,80,,,1
58,GeneID.23498,80,,,1
59,GeneID.29127,80,,,1
60,GeneID.22974,80,,,1
61,GeneID.80129,80,,,1
62,GeneID.1308,80,,,1
63,GeneID.146433,80,,,1
64,GeneID.342667,80,0.003355704697986577,1.57029629,1
65,GeneID.11004,80,,,1
66,GeneID.90634,80,,,1
67,GeneID.6790,80,,,1
68,GeneID.10615,80,,,1
69,GeneID.6038,80,,,1
70,GeneID.8318,80,,,1
71,GeneID.5366,80,,,1
72,GeneID.149461,80,,,1
73,GeneID.4886,80,,,1
74,GeneID.79192,80,,,1
75,GeneID.84417,80,,,1
76,GeneID.1033,80,,,1
77,GeneID.2886,80,,,1
78,GeneID.25891,80,,,1
79,GeneID.771,80,,,1
0,GeneID.8424,70,0.06941838649155722,10.00001000945946,1
1,GeneID.1672,70,0.12382739212007504,10.80036566060606,1
2,GeneID.83903,70,0.1050656660412758,9.162571648035714,1
3,GeneID.3872,70,0.12570356472795496,5.625140620597014,1
4,GeneID.4137,70,0.0225140712945591,8.5797808175,1
5,GeneID.196993,70,,,1
6,GeneID.8200,70,0.00375234521575985,6.156110764999999,1
7,GeneID.10948,70,0.00375234521575985,3.206738235,1
8,GeneID.12,70,0.0825515947467167,3.8842550515909107,1
9,GeneID.306,70,0.03564727954971857,5.103973488947368,1
10,GeneID.81706,70,0.01125703564727955,3.656422935,1
11,GeneID.11162,70,0.01876172607879925,3.4700009350000003,1
12,GeneID.7783,70,0.03377110694183865,3.2086083083333334,1
13,GeneID.342667,70,0.00375234521575985,3.458949805,1
14,GeneID.3400,70,0.028142589118198873,2.7006575266666673,1
15,GeneID.3861,70,0.00375234521575985,2.475937605,1
16,GeneID.3852,70,0.0225140712945591,3.1949044275000005,1
17,GeneID.3868,70,0.06191369606003752,1.7447967599999998,1
18,GeneID.27190,70,0.06566604127579738,6.615339142857143,1
19,GeneID.55165,70,0.0075046904315197,7.933948995,1
20,GeneID.84299,70,,,1
21,GeneID.154141,70,0.001876172607879925,1.24250793,1
22,GeneID.79083,70,,,1
23,GeneID.3169,70,,,1
24,GeneID.1058,70,,,1
25,GeneID.9133,70,,,1
26,GeneID.9700,70,,,1
27,GeneID.319089,70,,,1
28,GeneID.5347,70,,,1
29,GeneID.2064,70,0.020637898686679174,7.292161508181819,1
30,GeneID.7272,70,0.00375234521575985,2.4474339499999997,1
31,GeneID.332,70,,,1
32,GeneID.8190,70,,,1
33,GeneID.2625,70,,,1
34,GeneID.11065,70,0.001876172607879925,2.87430382,1
35,GeneID.151648,70,,,1
36,GeneID.23650,70,0.01876172607879925,1.540667855,1
37,GeneID.85004,70,,,1
38,GeneID.7832,70,,,1
39,GeneID.55839,70,,,1
40,GeneID.9156,70,,,1
41,GeneID.6422,70,0.0075046904315197,3.3950560100000002,1
42,GeneID.55861,70,,,1
43,GeneID.10403,70,,,1
44,GeneID.29089,70,0.0225140712945591,4.2893793975,1
45,GeneID.8914,70,,,1
46,GeneID.27202,70,,,1
47,GeneID.89846,70,,,1
48,GeneID.135295,70,,,1
49,GeneID.25803,70,,,1
50,GeneID.2296,70,0.0075046904315197,2.694617985,1
51,GeneID.2099,70,,,1
52,GeneID.26166,70,,,1
