,feature,size,weight,gain,cv
13,GeneID.83540,80,0.06809078771695594,6.448135315098036,1
14,GeneID.3852,80,0.01335113484646195,5.929332947000001,1
15,GeneID.10948,80,0.0520694259012016,6.306992971025639,1
16,GeneID.56849,80,0.014686248331108143,5.269477020909091,1
17,GeneID.2625,80,0.03471295060080107,5.194106968846156,1
18,GeneID.23650,80,0.021361815754339118,5.97896885,1
19,GeneID.342667,80,,,1
20,GeneID.3872,80,0.018691588785046728,5.217135701428573,1
21,GeneID.10403,80,0.014686248331108143,7.066930178181821,1
22,GeneID.9156,80,0.025367156208277702,5.5107131621052625,1
23,GeneID.983,80,0.006675567423230975,3.999896862000001,1
24,GeneID.11162,80,0.050734312416555405,4.26912939263158,1
25,GeneID.8424,80,0.0026702269692923898,2.847409365,1
26,GeneID.12,80,0.037383177570093455,3.4643670235714277,1
27,GeneID.319089,80,0.01335113484646195,3.692406165,1
28,GeneID.84299,80,0.006675567423230975,4.320393944,1
29,GeneID.10200,80,0.03204272363150868,3.332464570833333,1
30,GeneID.149461,80,0.012016021361815754,2.6391016788888884,1
31,GeneID.2099,80,0.017356475300400534,3.5962423169230773,1
32,GeneID.89846,80,0.0013351134846461949,4.019557,1
33,GeneID.57650,80,,,1
34,GeneID.1308,80,0.0053404539385847796,3.33192384,1
35,GeneID.53335,80,0.012016021361815754,2.8920159477777774,1
36,GeneID.25891,80,0.01602136181575434,2.4636823641666665,1
37,GeneID.5733,80,0.004005340453938585,2.517178653333333,1
38,GeneID.8914,80,,,1
39,GeneID.55839,80,0.012016021361815754,2.26712419,1
40,GeneID.7494,80,0.020026702269692925,2.469079598,1
41,GeneID.55861,80,0.012016021361815754,2.1668191633333334,1
42,GeneID.2886,80,0.012016021361815754,2.1138604488888886,1
43,GeneID.1033,80,0.0026702269692923898,1.17976236,1
44,GeneID.8200,80,0.0267022696929239,2.10017283,1
45,GeneID.6790,80,0.010680907877169559,2.2004495575,1
46,GeneID.5366,80,0.01602136181575434,1.9555516141666667,1
47,GeneID.83903,80,0.0053404539385847796,2.9287470275,1
48,GeneID.27202,80,0.021361815754339118,1.8427317725,1
49,GeneID.9635,80,0.012016021361815754,2.1111245544444444,1
50,GeneID.158046,80,0.0026702269692923898,2.896581115,1
51,GeneID.9413,80,0.03471295060080107,1.8219132430769234,1
52,GeneID.9700,80,0.00801068090787717,1.69197903,1
53,GeneID.1672,80,0.012016021361815754,1.512757171111111,1
