,feature,size,weight,gain,cv
53,GeneID.146433,70,,,1
54,GeneID.342667,70,,,1
55,GeneID.11004,70,,,1
56,GeneID.90634,70,,,1
57,GeneID.6790,70,,,1
58,GeneID.3861,70,,,1
59,GeneID.10615,70,,,1
60,GeneID.6038,70,,,1
61,GeneID.8318,70,,,1
62,GeneID.5366,70,,,1
63,GeneID.149461,70,,,1
64,GeneID.196993,70,,,1
65,GeneID.4886,70,,,1
66,GeneID.79192,70,,,1
67,GeneID.84417,70,,,1
68,GeneID.1033,70,,,1
69,GeneID.2886,70,,,1
0,GeneID.79083,60,0.1375,30.607402118181813,1
1,GeneID.2625,60,0.275,17.669581712727275,1
2,GeneID.2099,60,0.3375,17.20813003962963,1
3,GeneID.53335,60,0.0625,7.700872456000001,1
4,GeneID.7272,60,0.05,2.214805605,1
5,GeneID.771,60,0.0375,2.1426125333333332,1
6,GeneID.80129,60,0.0375,2.0861057433333334,1
7,GeneID.7494,60,0.0625,1.862142252,1
8,GeneID.319089,60,,,1
9,GeneID.3169,60,,,1
10,GeneID.1058,60,,,1
11,GeneID.55165,60,,,1
12,GeneID.3400,60,,,1
13,GeneID.9133,60,,,1
14,GeneID.9700,60,,,1
15,GeneID.3852,60,,,1
16,GeneID.5347,60,,,1
17,GeneID.2064,60,,,1
18,GeneID.332,60,,,1
19,GeneID.8190,60,,,1
20,GeneID.7783,60,,,1
21,GeneID.10948,60,,,1
22,GeneID.3868,60,,,1
23,GeneID.11065,60,,,1
24,GeneID.151648,60,,,1
25,GeneID.23650,60,,,1
26,GeneID.85004,60,,,1
27,GeneID.7832,60,,,1
28,GeneID.55839,60,,,1
29,GeneID.9156,60,,,1
30,GeneID.6422,60,,,1
31,GeneID.55861,60,,,1
32,GeneID.10403,60,,,1
33,GeneID.29089,60,,,1
34,GeneID.8914,60,,,1
35,GeneID.27202,60,,,1
36,GeneID.89846,60,,,1
37,GeneID.135295,60,,,1
38,GeneID.25803,60,,,1
39,GeneID.2296,60,,,1
40,GeneID.26166,60,,,1
41,GeneID.5733,60,,,1
42,GeneID.2173,60,,,1
43,GeneID.10200,60,,,1
44,GeneID.57650,60,,,1
45,GeneID.983,60,,,1
46,GeneID.23498,60,,,1
47,GeneID.154141,60,,,1
48,GeneID.11162,60,,,1
49,GeneID.29127,60,,,1
50,GeneID.22974,60,,,1
51,GeneID.84299,60,,,1
52,GeneID.1308,60,,,1
53,GeneID.146433,60,,,1
54,GeneID.342667,60,,,1
55,GeneID.11004,60,,,1
56,GeneID.90634,60,,,1
57,GeneID.6790,60,,,1
58,GeneID.3861,60,,,1
59,GeneID.10615,60,,,1
0,GeneID.79083,50,0.1375,29.93990010454546,1
1,GeneID.2625,50,0.275,17.69144272227273,1
2,GeneID.2099,50,0.3375,17.416104687777775,1
3,GeneID.53335,50,0.0625,7.698119408000001,1
4,GeneID.7272,50,0.05,2.4101506775000003,1
5,GeneID.771,50,0.0375,2.2789516033333332,1
6,GeneID.80129,50,0.0375,2.09612592,1
7,GeneID.7494,50,0.0625,1.869321324,1
8,GeneID.319089,50,,,1
9,GeneID.3169,50,,,1
10,GeneID.1058,50,,,1
11,GeneID.55165,50,,,1
12,GeneID.3400,50,,,1
13,GeneID.9133,50,,,1
14,GeneID.9700,50,,,1
15,GeneID.3852,50,,,1
16,GeneID.5347,50,,,1
17,GeneID.2064,50,,,1
18,GeneID.332,50,,,1
19,GeneID.8190,50,,,1
20,GeneID.7783,50,,,1
21,GeneID.10948,50,,,1
22,GeneID.3868,50,,,1
23,GeneID.11065,50,,,1
24,GeneID.151648,50,,,1
25,GeneID.23650,50,,,1
26,GeneID.85004,50,,,1
27,GeneID.7832,50,,,1
28,GeneID.55839,50,,,1
29,GeneID.9156,50,,,1
30,GeneID.6422,50,,,1
31,GeneID.55861,50,,,1
32,GeneID.10403,50,,,1
33,GeneID.29089,50,,,1
34,GeneID.8914,50,,,1
35,GeneID.27202,50,,,1
36,GeneID.89846,50,,,1
37,GeneID.135295,50,,,1
38,GeneID.25803,50,,,1
39,GeneID.2296,50,,,1
40,GeneID.26166,50,,,1
41,GeneID.5733,50,,,1
42,GeneID.2173,50,,,1
43,GeneID.10200,50,,,1
44,GeneID.57650,50,,,1
45,GeneID.983,50,,,1
46,GeneID.23498,50,,,1
47,GeneID.154141,50,,,1
48,GeneID.11162,50,,,1
49,GeneID.29127,50,,,1
0,GeneID.79083,40,0.14893617021276595,26.25569466142857,1
1,GeneID.2625,40,0.2553191489361702,17.54060383041667,1
2,GeneID.2099,40,0.30851063829787234,17.32004365413793,1
3,GeneID.53335,40,0.07446808510638298,9.430563337142857,1
4,GeneID.7272,40,0.06382978723404255,3.301019946666667,1
5,GeneID.771,40,0.05319148936170213,2.4822012659999997,1
6,GeneID.80129,40,0.0425531914893617,2.4330914925,1
7,GeneID.7494,40,0.05319148936170213,1.8425996560000002,1
8,GeneID.319089,40,,,1
9,GeneID.3169,40,,,1
10,GeneID.1058,40,,,1
11,GeneID.55165,40,,,1
12,GeneID.3400,40,,,1
13,GeneID.9133,40,,,1
14,GeneID.9700,40,,,1
15,GeneID.3852,40,,,1
16,GeneID.5347,40,,,1
17,GeneID.2064,40,,,1
18,GeneID.332,40,,,1
19,GeneID.8190,40,,,1
20,GeneID.7783,40,,,1
21,GeneID.10948,40,,,1
22,GeneID.3868,40,,,1
23,GeneID.11065,40,,,1
24,GeneID.151648,40,,,1
25,GeneID.23650,40,,,1
26,GeneID.85004,40,,,1
27,GeneID.7832,40,,,1
